Type,Localisation,Latitude,Longitude,Title,Price in DH,Tags,Tags_length,Area in m²,Rooms,Bedrooms,Bathrooms,Condition,Floor,House Age in ans
Maisons Casablanca,Sidi Maarouf à Casablanca,33.51821300640254,-7.644338607788086,Maison R+2,4600000.0,"['120 m²', '7 Pièces', '5 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans']",6,120.0,7.0,5.0,2.0,Bon état,3.0,15
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,Dernier etage penthouse,4500000.0,"['550 m²', '6 Pièces', '4 Chambres', '3 Salles de bains']",4,550.0,6.0,4.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Anfa à Casablanca,33.596175974504256,-7.657470703125,Emplacement premium vue mer,23750000.0,"['1250 m²', '5 Chambres', '3 Salles de bains']",4,1250.0,4.682934712346477,5.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Casablanca,33.56170473792227,-7.630379283521052,Villa cil centre,9200000.0,"['490 m²', '5 Pièces', '5 Chambres', '4 Salles de bains']",4,490.0,5.0,5.0,2.306532663316583,Bon état,3.0,15
Villas & maisons de luxe Casablanca,Casablanca,33.56170473792227,-7.630379283521052,Villa cil a usage professionnelle,9200000.0,"['490 m²', '6 Pièces', '5 Chambres', '4 Salles de bains']",4,490.0,6.0,5.0,2.306532663316583,Bon état,3.0,15
Appartements Casablanca,Racine Extension à Casablanca,33.56170473792227,-7.630379283521052,"Appartement 234 m² à vendre, Racine Extension, Casa",5000000.0,"['234 m²', '5 Pièces', '4 Chambres', '2 Salles de bains', 'Bon état', '5ème étage']",6,234.0,5.0,4.0,2.0,Bon état,5.0,15
Appartements Casablanca,Bourgogne Ouest à Casablanca,33.56170473792227,-7.630379283521052,Studio refait à neuf en vente a bourgogne,950000.0,"['50 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'Bon état', '5-10 ans', '5ème étage']",7,50.0,2.0,1.0,1.0,Bon état,5.0,7
Appartements Casablanca,Belvédère à Casablanca,33.56170473792227,-7.630379283521052,Opportunité à saisir: Vend appartement à belvédère,1100000.0,"['111 m²', '3 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '10-20 ans', '5ème étage']",7,111.0,3.0,2.0,2.0,Bon état,5.0,15
Appartements Casablanca,Beauséjour à Casablanca,33.57056343735834,-7.646452735346571,Appartement en vente sur ghaindi,2200000.0,"['155 m²', '4 Pièces', '2 Chambres', '2 Salles de bains', 'Bon état', '5-10 ans', '3ème étage']",7,155.0,4.0,2.0,2.0,Bon état,3.0,7
Villas & maisons de luxe Casablanca,Sidi Maarouf à Casablanca,33.51821300640254,-7.644338607788086,Hay nassim2 sidi maarouf vente villa terrasse jard,3600000.0,"['260 m²', '5 Pièces', '4 Chambres', '2 Salles de bains', 'Bon état']",5,260.0,5.0,4.0,2.0,Bon état,3.0,15
