Marque,Modéle,Année-Modele,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Premiére main,état,Airbags,Climatisation,ABS,ESP,CD/MP3/Bluetooth,Prix
dacia,sandero,2015,115000,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,68000
fiat,500,2010,2500,essence,6,automatique,5.0,non spécifié,non spécifié,non spécifié,True,True,True,True,True,78000
bmw,x1,2011,225000,diesel,8,manuelle,5.0,dédouanée,non,trés bon,True,True,True,True,True,130000
dacia,dokker,2019,115000,diesel,7,manuelle,5.0,ww au maroc,non spécifié,excellent,True,True,True,False,True,114000
bmw,serie 5,2009,275000,diesel,8,automatique,5.0,non spécifié,non spécifié,trés bon,False,False,False,False,False,115000
volkswagen,jetta,2021,42500,diesel,8,automatique,5.0,importée neuve,oui,excellent,False,False,False,False,False,235000
fiat,500l,2016,62500,diesel,7,automatique,5.0,ww au maroc,non,excellent,False,False,False,False,False,133000
peugeot,208,2018,87500,diesel,6,manuelle,5.0,ww au maroc,non spécifié,excellent,True,True,True,True,True,119000
renault,kangoo,2019,42500,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,158000
renault,clio,2015,185000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,103000
mercedes-benz,220,1993,42500,diesel,8,manuelle,5.0,dédouanée,non,bon,False,False,False,False,False,60000
toyota,corolla,2006,225000,diesel,8,manuelle,5.0,importée neuve,non,trés bon,True,True,True,True,True,73000
toyota,yaris,2013,145000,essence,6,manuelle,5.0,ww au maroc,non,trés bon,True,True,True,False,True,72000
audi,a4,2003,185000,diesel,8,manuelle,5.0,importée neuve,non,bon,True,False,True,True,False,63000
chevrolet,captiva,2013,155000,diesel,9,--,5.0,non spécifié,non spécifié,trés bon,False,False,False,False,False,130000
renault,clio,2019,47500,diesel,7,manuelle,5.0,dédouanée,non,excellent,True,True,True,False,True,89000
kia,carens,2015,145000,diesel,7,manuelle,5.0,ww au maroc,non spécifié,excellent,True,True,True,False,False,130000
ford,focus,2017,72500,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,150000
alfa romeo,mito,2010,17500,diesel,6,manuelle,5.0,ww au maroc,non spécifié,trés bon,True,True,True,False,False,82000
ford,focus,2007,225000,essence,9,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,65000
mercedes-benz,classe c,2004,225000,diesel,8,manuelle,5.0,importée neuve,non spécifié,trés bon,True,True,True,True,False,95000
citroen,c3,2020,32500,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,125000
renault,laguna,2003,2500,diesel,7,manuelle,5.0,ww au maroc,non,excellent,True,True,False,True,True,63000
dacia,logan,2018,175000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,89000
fiat,punto,2013,105000,essence,5,manuelle,5.0,ww au maroc,non,excellent,True,True,True,True,True,71000
peugeot,208,2014,47500,diesel,7,manuelle,5.0,ww au maroc,non,trés bon,True,True,True,False,False,85000
volkswagen,jetta,2018,155000,diesel,8,automatique,5.0,ww au maroc,oui,trés bon,False,False,False,False,False,155000
renault,kangoo,2017,125000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,138000
citroen,c3,2019,27500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,146000
ford,ranger,2008,225000,diesel,10,manuelle,5.0,ww au maroc,non spécifié,bon,True,True,True,False,False,80000
mercedes-benz,classe b,2013,145000,diesel,7,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,140000
volkswagen,polo,2007,195000,diesel,8,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,66000
renault,megane 3,2010,185000,diesel,7,manuelle,3.0,non spécifié,non spécifié,non spécifié,True,False,False,False,True,80000
