,Lien,Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
71,https://www.avito.ma/fr/imouzzerkendar/voitures/Citroen_49366362.htm,Imouzzer-Kendar,,Citroen,C3,2014,190 000 - 199 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,75000
72,https://www.avito.ma/fr/kh%C3%A9nifra/voitures/Renult_megane_4_explore__49366354.htm,Khénifra,Toute la ville,Renault,Megane 4,2017,170 000 - 179 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,140000
73,https://www.avito.ma/fr/massira_1/voitures/Hyundai_Elantra_49366342.htm,Temara,Massira 1,Hyundai,Elantra,2019,70 000 - 74 999,Diesel,6,Automatique,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,168000
74,https://www.avito.ma/fr/massira_1/voitures/Nissan_qashqi_49366324.htm,Temara,Massira 1,Nissan,Qashqai,2015,120 000 - 129 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,155000
75,https://www.avito.ma/fr/autre_secteur/voitures/Golf_7__49366199.htm,Mohammedia,Autre secteur,Volkswagen,GOLF 7,2015,170 000 - 179 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,148000
76,https://www.avito.ma/fr/hautfounty/voitures/Skoda_Octavia_49366118.htm,Agadir,Haut-Founty,Skoda,Octavia,2013,170 000 - 179 999,Diesel,8,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130000
77,https://www.avito.ma/fr/k%C3%A9nitra/voitures/dacia_sandero_stepway__49365979.htm,Kénitra,,Dacia,Sandero,2012,160 000 - 169 999,Diesel,6,Automatique,5.0,,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76000
78,https://www.avito.ma/fr/marrakech/voitures/%D9%85%D9%8A%D8%B1%D8%B3%D8%AF%D8%B3_220_49365975.htm,Marrakech,,Mercedes-Benz,220,2001,10 000 - 14 999,Diesel,11,Manuelle,5.0,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,90000
79,https://www.avito.ma/fr/el_jadida/voitures/Kangoo__49365971.htm,El Jadida,,Renault,Kangoo,2016,160 000 - 169 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,113000
80,https://www.avito.ma/fr/f%C3%A8s/voitures/golf_5__49365927.htm,Fès,,Volkswagen,GOLF 5,2008,200 000 - 249 999,Diesel,8,Manuelle,5.0,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,107000
81,https://www.avito.ma/fr/mekn%C3%A8s/voitures/Peugeot__49365929.htm,Meknès,,Peugeot,206+,2010,95 000 - 99 999,Essence,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,62000
82,https://www.avito.ma/fr/safi/voitures/%D8%A8%D9%8A%D8%AC%D9%88_%D8%AA%D9%8A%D8%A8%D9%8A_49365763.htm,Safi,,Peugeot,Tepee,2010,180 000 - 189 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,98000
83,https://www.avito.ma/fr/sidi_maarouf/voitures/mercedes_c200_49365502.htm,Casablanca,Sidi Maarouf,Mercedes-Benz,Classe C,2008,90 000 - 94 999,Diesel,8,Manuelle,,Dédouanée,Oui,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,125000
84,https://www.avito.ma/fr/agadir/voitures/Renault_49365488.htm,Agadir,,Renault,Scenic,2005,190 000 - 199 999,Diesel,6,Manuelle,5.0,WW au Maroc,,Bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,65000
85,https://www.avito.ma/fr/f%C3%A8s/voitures/Dacia_logan_49365473.htm,Fès,,Dacia,Logan,2013,170 000 - 179 999,Diesel,7,Manuelle,5.0,WW au Maroc,Oui,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,65000
86,https://www.avito.ma/fr/agadir/voitures/octavia_49365380.htm,Agadir,,Skoda,Octavia,2008,160 000 - 169 999,Diesel,8,Manuelle,5.0,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,85000
87,https://www.avito.ma/fr/ain_sebaa/voitures/MASTER_FOURGON_4_5t_49365334.htm,Casablanca,Aïn Sebaâ,Renault,Master,2019,25 000 - 29 999,Diesel,9,Manuelle,5.0,Importée neuve,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,195000
88,https://www.avito.ma/fr/centre_ville/voitures/Audi_SQ5_toutes_options__49365292.htm,Tanger,Centre ville,Audi,Q5,2015,100 000 - 109 999,Diesel,6,Automatique,5.0,Importée neuve,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,360000
89,https://www.avito.ma/fr/mekn%C3%A8s/voitures/dacia_49365291.htm,Meknès,,Dacia,Duster,2016,200 000 - 249 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,130000
